"Cocunut";"Mortgage_YN";"AGE_AT_ORIGINATION";"AGE";"YEARS_WITH_BANK";"MARTIAL_STATUS";"EDUCATION";"EMPLOYMENT";"GENDER";"CUST_INCOME";"CURRENT_ADDRESS_DATE";"CURRENT_JOB_DATE";"CURRENT_WITH_BANK_DATE";"CURRENT_BALANCE_EUR"
43234;"N";NA;60;9;"D";"BCR";"STE";"F";456,8307692;1966-05-01;1996-09-18;2007-10-24;317,7956154
43235;"N";NA;37;1;"M";"HGH";"PVE";"M";307,6923077;2013-09-01;2012-01-01;2015-10-31;184,9906923
43237;"N";NA;52;11;"M";"HGH";"STE";"F";207,5356154;1990-01-01;2002-01-01;2005-08-02;1794,057462
43240;"N";NA;50;3;"S";"HGH";"STE";"M";292,7923077;1967-03-23;2012-10-01;2013-10-29;0
43242;"N";NA;59;11;"M";"HGH";"STE";"F";338,6153846;1978-09-10;1990-01-09;2005-11-26;6885,238308
43251;"N";NA;56;1;"M";"BCR";"STE";"M";515,3846154;2009-07-15;2007-05-18;2015-10-19;176,0374615
43253;"N";NA;61;1;"M";"HGH";"RET";"M";290,7494615;1965-01-01;2014-12-30;2015-10-27;1380,477692
43256;"N";NA;52;8;"D";"HGH";"STE";"F";353,8461538;2012-01-01;2007-12-17;2009-01-23;182,5399231
43257;"N";NA;61;4;"S";"HGH";"STE";"F";202,1230769;2008-10-03;2004-01-01;2013-04-18;3334,231538
43268;"N";NA;50;10;"M";"BCR";"STE";"M";361,8230769;1967-08-14;2003-01-19;2007-06-11;131,2413077
43269;"N";NA;50;9;"W";"HGH";"PVE";"F";180,1557692;1989-09-01;2014-05-06;2007-12-26;0
43272;"N";NA;41;4;"M";"SEC";"STE";"F";172,9883846;1998-09-26;2001-09-01;2013-03-22;430,091
